flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-30T07:15:00.000,2023-05-30T10:50:00.000,,04:35,67.14,True,ADT,3,FR~ 563~ ~~CRL~05/30/2023 07:15~TFS~05/30/2023 10:50~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-05-31T10:05:00.000,2023-05-31T13:00:00.000,,02:55,72.31,False,ADT,-1,FR~2923~ ~~BRU~05/31/2023 10:05~AGP~05/31/2023 13:00~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-31T13:10:00.000,2023-05-31T17:45:00.000,,03:35,76.76,True,ADT,-1,FR~8577~ ~~CRL~05/31/2023 13:10~RHO~05/31/2023 17:45~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-31T16:35:00.000,2023-05-31T18:50:00.000,,02:15,47.57,False,ADT,-1,FR~1302~ ~~CRL~05/31/2023 16:35~NAP~05/31/2023 18:50~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-31T09:25:00.000,2023-05-31T11:55:00.000,Malta Air,02:30,72.99,False,ADT,4,FR~6269~ ~~CRL~05/31/2023 09:25~PMO~05/31/2023 11:55~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-31T12:25:00.000,2023-05-31T14:20:00.000,,02:55,50.22,False,ADT,2,FR~2941~ ~~CRL~05/31/2023 12:25~FAO~05/31/2023 14:20~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-31T10:00:00.000,2023-05-31T12:25:00.000,,02:25,76.39,False,ADT,-1,FR~3534~ ~~CRL~05/31/2023 10:00~ALC~05/31/2023 12:25~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-31T06:45:00.000,2023-05-31T09:30:00.000,,02:45,67.12,False,ADT,4,FR~1916~ ~~CRL~05/31/2023 06:45~AGP~05/31/2023 09:30~~
FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-06-01T18:20:00.000,2023-06-01T22:00:00.000,,02:40,100.59,False,ADT,5,FR~6251~ ~~CRL~06/01/2023 18:20~CFU~06/01/2023 22:00~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-06-01T06:25:00.000,2023-06-01T08:40:00.000,,02:15,68.42,False,ADT,-1,FR~1302~ ~~CRL~06/01/2023 06:25~NAP~06/01/2023 08:40~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-06-01T11:25:00.000,2023-06-01T13:20:00.000,,02:55,86.99,True,ADT,-1,FR~2941~ ~~CRL~06/01/2023 11:25~FAO~06/01/2023 13:20~~
FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-06-01T09:00:00.000,2023-06-01T11:25:00.000,,02:25,84.62,False,ADT,-1,FR~9053~ ~~CRL~06/01/2023 09:00~ALC~06/01/2023 11:25~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-06-01T10:20:00.000,2023-06-01T12:45:00.000,,02:25,96.45,True,ADT,5,FR~6456~ ~~CRL~06/01/2023 10:20~IBZ~06/01/2023 12:45~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-06-01T17:30:00.000,2023-06-01T20:15:00.000,,02:45,88.59,True,ADT,-1,FR~1916~ ~~CRL~06/01/2023 17:30~AGP~06/01/2023 20:15~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-06-01T20:00:00.000,2023-06-01T23:35:00.000,,04:35,76.39,True,ADT,2,FR~ 563~ ~~CRL~06/01/2023 20:00~TFS~06/01/2023 23:35~~
FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-06-02T07:55:00.000,2023-06-02T12:30:00.000,,03:35,126.08,False,ADT,-1,FR~8577~ ~~CRL~06/02/2023 07:55~RHO~06/02/2023 12:30~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-06-02T07:00:00.000,2023-06-02T09:25:00.000,,02:25,92.57,True,ADT,-1,FR~7737~ ~~CRL~06/02/2023 07:00~BDS~06/02/2023 09:25~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-06-02T09:10:00.000,2023-06-02T11:25:00.000,Malta Air,02:15,84.08,False,ADT,2,FR~1302~ ~~CRL~06/02/2023 09:10~NAP~06/02/2023 11:25~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-06-02T16:35:00.000,2023-06-02T19:05:00.000,,02:30,93.99,True,ADT,3,FR~6269~ ~~CRL~06/02/2023 16:35~PMO~06/02/2023 19:05~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-06-02T07:05:00.000,2023-06-02T09:00:00.000,,02:55,116.79,False,ADT,2,FR~2941~ ~~CRL~06/02/2023 07:05~FAO~06/02/2023 09:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-06-02T09:45:00.000,2023-06-02T12:10:00.000,,02:25,133.54,False,ADT,-1,FR~3534~ ~~CRL~06/02/2023 09:45~ALC~06/02/2023 12:10~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-06-02T16:15:00.000,2023-06-02T18:40:00.000,,02:25,147.7,False,ADT,-1,FR~6456~ ~~CRL~06/02/2023 16:15~IBZ~06/02/2023 18:40~~
FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-06-02T10:00:00.000,2023-06-02T12:45:00.000,,02:45,88.24,False,ADT,-1,FR~1928~ ~~CRL~06/02/2023 10:00~AGP~06/02/2023 12:45~~
FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-06-02T06:20:00.000,2023-06-02T09:55:00.000,,04:35,118.31,True,ADT,-1,FR~ 563~ ~~CRL~06/02/2023 06:20~TFS~06/02/2023 09:55~~
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-06-03T08:10:00.000,2023-06-03T12:35:00.000,,03:25,103.07,False,ADT,3,FR~7986~ ~~CRL~06/03/2023 08:10~HER~06/03/2023 12:35~~
